2022 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
369,1,(333 666) (6666 9999),"Green:333 666, red:6666 9999",(Any 2 Suits),X25
369,2,FFF 3333 666 9999,"Blue:FFF, green:3333, red:666, blue:9999",(Any 1 or 3 Suits),X25
369,3,(33 666) (DDDD) (666 99),"Green:33 666, red:DDDD, blue:666 99","(Any 3 Suits, Matching Dragons)",X25
369,4,FF 33 666 9999 DDD,Blue:FF 33 666 9999 DDD,(Any 1 Suit),X25
369,5,(3333 6666) 999 999,"Green:3333 6666, red:999, blue:999",(Any 3 Suits),X25
369,6,FF 333 66 999 (3333),"Blue:FF, green:333 66 999, red:????","(Kong 3/6/9, 2 Suits)",X25
369,7,FF (3 66 999) (3 66 999),"Blue:FF, green:3 66 999, red:3 66 999","(Any 2 Suits, Concealed)",C30
,,,,,
,,,,,
SINGLES AND PAIRS,1,NN EE WW SS DD DD DD,"Blue:NN EE WW SS, red:DD, green:DD, blue:00",(Concealed),C50
SINGLES AND PAIRS,2,(11 33 55 77 99) (11) (11),"Green:11 33 55 77 99, red:11, blue:11","(Any 3 Suits, Any Like Nos., Concealed)",C50
SINGLES AND PAIRS,3,FF (11 22 33) (11 22 33),"Blue:FF, green:11 22 33, red:11 22 33","(Any 2 Suits, Any Consec. Nos., Concealed)",C50
SINGLES AND PAIRS,4,11 22 33 44 55 66 77,Blue:11 22 33 44 55 66 77,"(Any 1 Suit, Consec. Nos.)",C50
SINGLES AND PAIRS,5,FF (22 46 88) (22 46 88),"Blue:FF, green:22 4 6 88, red:22 4 6 88","(Any 2 Suits, Any Like Nos., Concealed)",C50
SINGLES AND PAIRS,6,(336) (33669) (336699),"Green:33 6, red:33 66 9, blue:33 66 99","(Any 3 Suits, Concealed)",C50
