2023 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
13579,4,FF 1111 33 5555 DD or FF 5555 77 9999 DD,Blue:FF 1111 33 5555 DD or FF 5555 77 9999 DD,(Any 1 Suit Matching Dragons),X30
13579,5,(11 333) (DDDD) (333 55) or (55 777) (DDDD) (777 99),"Green:11 333, red:DDDD, blue:333 55","(Any 3 Suits, Matching Dragons, Any Consec. Nos.)",X25
13579,6,FFFF (11 33) (555) (555) or FFFF (55 77) (999) (999),"Blue:FFFF, green:11 33, red:555, blue:555","(Any 3 Suits, Any Consec. Nos.)",X25
13579,7,1111 (33 55 77) 9999,"Green:1111, red:33 55 77, green:9999",(Any 2 Suits),X30
13579,8,(111 3 555) (555 7 999),"Green:111 3 555, red:555 7 999",(Any 2 Suits),C30
,,,,,
,,,,,
WINDS - DRAGONS,1,NNNN EEE WWW SSSS or NNN EEEE WWWW SSS,Blue:NNNN EEE WWW SSSS or NNN EEEE WWWW SSS,,X25
WINDS - DRAGONS,2,NNN SSS 11 22 3333 or EEE WWW 11 22 3333,"Blue:NNN SSS, green:11, red:22, blue:3333",(Any Run),X25
WINDS - DRAGONS,3,NNNN SSSS DDD DDD or EEEE WWWW DDD DDD,"Blue:NNNN SSSS, green:DDD, red:DDD",(Any 2 Dragons),X25
WINDS - DRAGONS,4,FF NNNN 2023 SSSS or FF EEEE 2023 WWWW,Blue:FF NNNN 2023 SSSS or FF EEEE 2023 WWWW,(Any 1 Suit),X25
WINDS - DRAGONS,5,FFFF N EE WWW SSSS,Blue:FFFF N EE WWW SSSS,,X25
WINDS - DRAGONS,6,DDDD NN E W SS DDDD,"Green:DDDD, blue:NN E W SS, red:DDDD",(Any 2 Dragons),X30
WINDS - DRAGONS,7,NNN E W SSS 111 222,"Blue:NNN E W SSS, green:111, red:222","(Consec. nums, 2 Suits)",C30
,,,,,
,,,,,
369,1,(333 6666) (666 9999),"Green:333 6666, red:666 9999",(Any 2 Suits),X25
369,2,FFFF 3333 66 9999,"Blue:FFFF, green:3333, red:66, blue:9999",(Any 1 or 3 Suits),X25
369,3,(33 66) (333 666) (9999),"Green:33 66, red:333 666, blue:9999",(Any 3 Suits),X25
369,4,FF (33 66 99) DDD DDD,"Blue:FF, green:33 66 99, red:DDD, blue:DDD",(Any 3 Suits),X30
369,5,"(3 66 999) (3333) (3333) Per NMJL Clarification, Kongs must be identical numbers.","Green:3 66 999, red:1111, blue:1111",(Any 3 Suits),X25
369,6,3333 666 9999 DDD,"Green:3333, red:666, green:9999, red:DDD","(Any 2 Suits, 6's and Dragons match)",X25
369,7,(333 6 999) (333 6 999),"Green:333 6 999, red:333 6 999",(Any 2 Suits),C30
,,,,,
,,,,,
SINGLES AND PAIRS,1,(11 357 99) (11 357 99),"Green:11 3 5 7 99, red:11 3 5 7 99",(Any 2 Suits),C50
SINGLES AND PAIRS,2,FF (11 22) (11 22) (11 22),"Blue:FF, green:11 22, red:11 22, blue:11 22","(Any 3 Suits, Consec. nums)",C50
SINGLES AND PAIRS,3,(33 66 99 D) (33 66 99 D),"Green:33 66 99 D, red:33 66 99 D","(Any 2 Suits, Matching Dragons, Concealed)",C50
SINGLES AND PAIRS,4,FF (2 4 66 88) (2 4 66 88),"Blue:FF, green:2 4 66 88, red:2 4 66 88",(Any 2 Suits),C50
SINGLES AND PAIRS,5,11 22 33 44. 55 66 77,Blue:11 22 33 44. 55 66 77,(Any 1 Suit Consec. nums),C50
SINGLES AND PAIRS,6,FF 2023 2023 2023,Blue:FF 2023 2023 2023,(Concealed),C75
