2026 NMJL CARD
Category,Hand #,Hand,Colors,Parenthesis,Values
CONSECUTIVE RUN,4a,111 222 3333 4444,Blue:111 222 3333 4444,"(Any 1 Suit, Any 4 Consec. Nos.)",X25
CONSECUTIVE RUN,4b,111 222 3333 4444,Green:111 222 3333 4444,"(Any 2 Suits, Any 4 Consec. Nos.)",X25
CONSECUTIVE RUN,5a,FFF 11 22 333 DDDD,Blue:FFF 11 22 333 DDDD,"(Any 1 Suit, Any Run, Ds Match Middle No.)",X25
CONSECUTIVE RUN,5b,FFF 11 22 333 DDDD,"Blue:FFF, green:11, red:22, green:333, red:DDDD","(Any 2 Suits, Any Run, Ds Match Middle No.)",X25
CONSECUTIVE RUN,6,1111 FFFFFF 2222,Blue:1111 FFFFF 2222,"(Any 1 Suit, Any 2 Consec. Nos.)",X30
CONSECUTIVE RUN,7a,FF 1111 2222 3333,Blue:FF 1111 2222 3333,"(Any 1 Suit, Any 3 Consec. Nos.)",X25
CONSECUTIVE RUN,7b,FF 1111 2222 3333,"Blue:FF, green:1111, red:2222, blue:3333","(Any 3 Suits, Any 3 Consec. Nos.)",X25
CONSECUTIVE RUN,8,122 333 1 22 333 44,"Green:1 22 333, red:1 22 333, blue:44","(Any 3 Suits, Any 4 Consec. Nos.)",C35
,,,,,
,,,,,
13579,1a,11 333 55 777 9999,Blue:11 333 55 777 9999,(Any 1 Suit),X25
13579,1b,11 333 55 777 9999,"Green:11 333, red:55 777, blue:9999",(Any 3 Suits),X25
13579,2a,111 333 3333 5555,"Green:111 333, red:3333 5555",(Any 2 Suits),X25
13579,2b,555 777 7777 9999,"Green:555 777, red:7777 9999",(Any 2 Suits),X25
13579,3a,NN 1111 33 5555 SS,Blue:NN 1111 33 5555 SS,"(Any 1 Suit, North & South Only)",X30
13579,3b,NN 5555 77 9999 SS,Blue:NN 5555 77 9999 SS,"(Any 1 Suit, North & South Only)",X30
13579,4,113579 1111 1111,"Green:113579, red:1111, blue:1111","(Any 3 Suits, Pair Any Odd No., Kongs Match Pair)",X25
13579,5a,FFF 11 33 555 DDDD,Blue:FFF 11 33 555 DDDD,(Any 1 Suit w Matching Dragons),X25
13579,5b,FFF 55 77 999 DDDD,Blue:FFF 55 77 999 DDDD,(Any 1 Suit w Matching Dragons),X25
13579,6a,11 33 111 333 5555,"Green:11 33, red:111 333, blue:5555",(Any 3 Suits),X25
13579,6b,55 77 555 777 9999,"Green:55 77, red:555 777, blue:9999",(Any 3 Suits),X25
13579,7a,1111 33 55 77 9999,Blue:1111 33 55 77 9999,(Any 1 Suit),X30
13579,7b,1111 33 55 77 9999,"Green:1111, red:33 55 77, green:9999",(Any 2 Suits),X30
13579,8a,FF 11 33 55 111 111,"Blue:FF, green:11 33 55, red:111, blue:111","(Any 3 Suits, These Nos. Only)",C35
13579,8b,FF 55 77 99 555 555,"Blue:FF, green:55 77 99, red:555, blue:555","(Any 3 Suits, These Nos. Only)",C35
13579,9,FF 135 777 999 DDD,"Blue:FF, green:135 777 999, red:DDD",(Any 1 Suit w Opposing Dragon),C30
,,,,,
,,,,,
WINDS - DRAGONS,1a,NNNN EEE WWW SSSS,Blue:NNNN EEE WWW SSSS,,X25
WINDS - DRAGONS,1b,NNN EEEE WWWWSSS,Blue:NNN EEEE WWWW SSS,,X25
WINDS - DRAGONS,2,1234 DDD DDD DDDD,"Blue:1234, green:DDD, red:DDD, blue:DDDD","(Any 4 Consec. Nos. In Any 1 Suit, Any 3 Dragons)",X25
WINDS - DRAGONS,3,NNN 1111 1111 SSS,"Blue:NNN, green:1111, red:1111, blue:SSS",(Any Like Odd Nos. In Any 2 Suits),X25
WINDS - DRAGONS,4,NNN 2222 2222 SSS,"Blue:EEE, green:2222, red:2222, blue:WWW",(Any Like Even Nos. In Any 2 Suits),X25
WINDS - DRAGONS,5,FFF NNNN FFF DDDD,Blue:FFF NNNN FFF DDDD,"(Any Wind, Any Dragon)",X25
WINDS - DRAGONS,6,1 N 2 EE 3 WWW 4 SSSS,Blue:1 N 2 EE 3 WWW 4 SSSS,"(Any 1 Suit, These Nos. Only)",X25
WINDS - DRAGONS,7a,FF NNNN SSSS DD DD,"Blue:FF NNNN SSSS, green:DD, red:DD",(Any 2 Dragons),X25
WINDS - DRAGONS,7b,FFEEEEWWWWDDDD,"Blue:FF EEEE WWWW, green:DD, red:DD",(Any 2 Dragons),X25
WINDS - DRAGONS,8,NN EEE 2026 WWWSS,Blue:NN EEE 2026 WWW SS,(2026 Any 1 Suit),C30
,,,,,
,,,,,
369,1a,333 666 6666 9999,"Green:333 666, red:6666 9999",(Any 2 Suits),X25
369,1b,333 666 6666 9999,"Green:333 666, red:6666, blue:9999",(Any 3 Suits),X25
369,2,33 66 333 666 9999,"Green:33 66, red:333 666, blue:9999",(Any 3 Suits),X25
369,3a,FFF 33 666 99 DDDD,Blue:FFF 33 666 99 DDDD,(1 Suit w Matching Dragon),X25
369,3b,FFF 33 666 99 DDDD,"Blue:FFF, green:33 666 99, red:DDDD",(1 Suit w Opposing Dragon),X25
369,4,33 66 666 999 NEWS,"Green:33 66, red:666 999, blue:NEWS",(Any 2 Suits),X30
369,5,FF 3369 3333 3333,"Blue:FF, green:3369, red:3333, blue:3333","(Any 3 Suits, Pair 3,6, or 9, Kongs Match Pair)",X25
369,6,FF 333 666 999 369,"Blue:FF, green:333 666 999, red:369",(Any 2 Suits),C30
,,,,,
,,,,,
SINGLES AND PAIRS,1,NNEEWWSS 1D 1D 1D,"Blue:NN EE WW SS, green:1D, red:1D, blue:1D","(Any 3 Suits, Any Like No. W Matching Dragon)",C50
SINGLES AND PAIRS,2,4 66 88 2 4 66 88 88,"Green:2 4 66 88, red:2 4 66 88, blue:88","(Any 3 Suits, These Nos. Only)",C50
SINGLES AND PAIRS,3,FF 3369 3669 3699,"Blue:FF, green:3369, red:3669, blue:3699",(Any 3 Suits),C50
SINGLES AND PAIRS,4,11 22 33 44 55 66 77,Blue:11 22 33 44 55 66 77,"(Any 1 Suit, Any 7 Consec. Nos.)",C50
SINGLES AND PAIRS,5,11 357 99 11 357 99,"Green:11 357 99, red:11 357 99",(Any 2 Suits),C50
SINGLES AND PAIRS,6,FF 2026 2026 2026,"Blue:FF, green:2026, red:2026, blue:2026",(Any 3 Suits),C75
